cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
022594;00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021;8.87975750518;5.35033335596;39.7468528522;0.719394695497;42.279852899;186403000;18.4152730626;46.1763648569;565054000;3431917000;183619000;2067838000
022594;00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022;7.42245350394;4.79229698724;35.4351363105;2.12992666169;33.8836013705;584145000;52.5310855246;44.5962125541;861883000;4962422000;237814000;3203981000
022594;00.622.416/0001-41;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023;8.00150125679;5.06652609052;36.6803062585;1.40663241636;45.207677878;559750000;9.60141921815;51.5294547703;944636000;7519531000;380979000;4761344000
018589;00.644.907/0001-93;INVESTCO S.A.;2020;3.78774465221;2.97444064073;21.4719862652;2.38417437924;51.2560761407;88552000;;;146886000;1157932000;34442000;909301000
018589;00.644.907/0001-93;INVESTCO S.A.;2021;3.02144132042;2.38072832537;21.2055415648;3.33522872476;45.1718210349;130430000;-13.6622959302;0.0318671562752;126818000;1158301000;27576000;912677000
018589;00.644.907/0001-93;INVESTCO S.A.;2022;11.3962338192;8.69171413967;23.7316970013;2.99551522737;67.6507588853;255744000;74.2512892492;9.61477198069;220982000;1269669000;110356000;968355000
018589;00.644.907/0001-93;INVESTCO S.A.;2023;9.3989227578;7.25290995867;22.8325400094;3.58162538195;60.7153046668;258002000;-11.1782860142;-0.95229544078;196280000;1257578000;91211000;970441000
018589;00.644.907/0001-93;INVESTCO S.A.;2024;6.06787505063;4.62085449704;23.8472371549;3.71133070627;49.2812090177;261818000;-18.4175667414;-0.228614050182;160130000;1254703000;57978000;955491000
018589;00.644.907/0001-93;INVESTCO S.A.;2025;7.08808947009;5.09328308223;28.1430757369;3.81583994421;43.4158218097;305814000;-1.50565165803;7.08924741552;157719000;1343652000;68436000;965507000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2020;13.7391292705;12.605096213;8.25403877593;1.93361418403;;9572000;;;0;2930529000;369396000;2688642000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2021;62.7207937169;62.5243515774;0.313200978411;1.47845758355;;5931000;;5.95476106874;0;3105035000;1941403000;3095310000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2022;56.9163779623;52.5629231854;7.64886124645;0.720102921518;;1890000;;8.98450420044;0;3384007000;1778733000;3125169000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2023;24.1163995986;23.9357501584;0.749073009317;0.959663207362;;491000;;0.735016210073;0;3408880000;815941000;3383345000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2024;15.0451506017;14.7605853911;1.89140818899;1.13051836884;;36994000;;10.5251284879;0;3767669000;556130000;3696407000
015091;00.743.065/0001-27;LITEL PARTICIPACOES S.A.;2025;6.45696280775;6.26054899112;3.04189171413;2.93963137011;;22266000;;-4.56372361797;0;3595723000;225112000;3486345000
020990;00.776.574/0001-56;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2020;-2.22184832631;-0.932278044967;58.040428146;2.95996715858;1.78355206514;6634287000;;;10124347000;22606775000;-210758000;9485706000
